name,brand_names,key_ingredients,ratings,number_of_ratings,key_benefit_areas
Dr. Reckeweg R89 Hair Care Drop,Dr Reckeweg & Co,"Hypophysis, Juglans, Kalium phosphoricum, Polysorbatum, Testes",4.3,1169,Hair
Dr. Reckeweg R41 Sexual Neurasthenia Drop,Dr Reckeweg & Co,"Acidum phosphoricum, Agnus castus, China, Conium, Damiana, Phosphorus, Sepia",4.1,1038,Others
Medisynth Gasgan Pill,Medisynth Chemicals Pvt Ltd,Carbo vegetabilisColchicum autumnaleNux vomica,4.6,109,Stomach
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,Dr Willmar Schwabe India Pvt Ltd,Seneciobicolor (cineraria maritima),4.6,1234,Eye
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,Dr Reckeweg & Co,Calcarea Phosphorica,4.7,850,Joints
Dr. Reckeweg Berberis Vul Mother Tincture Q,Dr Reckeweg & Co,Berberis Vulgaris,4.5,662,Skin
Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,Guatteria Gaumeri,4.6,223,Heart
Bakson's Aller Aid Tablet,Bakson's Homeopathy,"Ferrum Phos. 3x, Natrum Mur. 6x, Kali Sulph. 3x, Kali Mur. 3x, Baptisia Tinc. 4x, Bryonia Alba 4x, Causticum 6x, Eucalyptus Gl. 3x, Gelsemium Sep. 6x, Sabadilla 6x, Eupatorium Perf. 3x",4.4,565,Heart
SBL Nux Vomica Dilution 30 CH,SBL Pvt Ltd,Nux Vomica,4.6,1993,Eye
Dr. Reckeweg R73 Joint Pain Drop,Dr Reckeweg & Co,"Acidum sulfuricum, Argentum, Arnica, Bryonia, Causticum Hahnemann, Ledum",4.5,602,Joints
Medisynth Dermoline Oral Drop,Medisynth Chemicals Pvt Ltd,Skookum chuckChoralumDolic pruriens-mucunaFagopyrum esculentumMezereum,4.2,10,Skin
SBL Clearstone Drop,SBL Pvt Ltd,"Berberis vulgaris Q, Sarsaparilla Q, Ocimum canum Q, Solidago virgaurea Q, Pareira brava Q, Senecio aureus Q",4.5,794,Whole Body
Bakson's Y-Lax Tablet,Bakson's Homeopathy,SennaSulphur,4.6,612,Intestine
Dr. Reckeweg R13 Hemorrhoidal Drop,Dr Reckeweg & Co,"Acidum nitricum, Aesculus, Collinsonia canadensis, Hamamelis, Kalium carbonicum",4.4,590,Intestine
Bjain Omeo Mouth Ulcer Tablet,Bjain Pharmaceuticals Pvt Ltd,,4.4,55,Others
Dr Willmar Schwabe India Damiaplant Drop,Dr Willmar Schwabe India Pvt Ltd,"Damiana Ø1x 10%, Ginseng Ø1x: 10%, Agnus castus 2x: 10%, Nuphar luteum 2x: 10%, Muira puama Ø1x: 10%",4.0,606,Brain
Bhargava Spondin Drop,Bhargava Phytolab,"Cuprum metallicium 6X, Ruta graveolens 3X, Dulcamera 3X, Conium maculatum 3X, Ledum palustre 2X, Hypericum perforatum 5X, Colocynthis vulgaris 3X",4.6,939,Whole Body
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Berberis Aquifolium,4.3,717,Eye
Medisynth Rheuma-Saj Massage Oil,Medisynth Chemicals Pvt Ltd,Arnica montanaCantharisGaultheria procumbensRuta graveolonsSymphytum officinale,4.3,89,Joints
SBL Berberis Vulgaris Mother Tincture Q,SBL Pvt Ltd,Berberis vulgaris,4.6,727,Kidney
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,Dr Reckeweg & Co,"Acidum Phosphoricum, Arsenicum Album, Lycopodium, Natrium Sulfuricum, Phaseolus Nanus, Secale Cornutum, Uranium Nitricum",4.5,462,Brain
Dr. Reckeweg R25 Prostatitis Drop,Dr Reckeweg & Co,"Chimaphila umbellata, Clematis, Conium, Ferrum picrinicum, Pareira brava, Populus tremul.",4.5,474,Whole Body
Bjain Omeo Kalmegh Drop,Bjain Pharmaceuticals Pvt Ltd,KalmeghCarica papaya,4.6,30,Intestine
SBL Tonicard Gold Drop Homeopathic Medicine,SBL Pvt Ltd,"Cactus grandiflorus Q, Crataegus oxyacantha Q, Convallaria majalis Q, Valeriana Officinalis Q, Strophanthus hispidus Q, Aurum muriaticum natronatum 3x, Camphora 2x",4.7,680,Heart
SBL Arnica Montana Dilution 200 CH,SBL Pvt Ltd,Arnica Montana,4.6,1781,Hair
SBL Syzygium Jambolanum Mother Tincture Q,SBL Pvt Ltd,Syzgium Jambolanum,4.6,855,Stomach
Medisynth Calendol Special Cream,Medisynth Chemicals Pvt Ltd,Calendula officinalisAcidum boracicumZincum oxydatum,4.4,27,Skin
Dr. Reckeweg R5 Stomach and Digestion Drop,Dr Reckeweg & Co,"Anacardium, Argentum nitricum, Arsenicum album, Belladona, Carbo vegetabilis, Chamomilla",4.5,563,Intestine
Bakson's Throat Aid Tablet,Bakson's Homeopathy,Mercurius iodatus ruberBelladonaKalium muriaticumBaryta carbonicaFerrum phosphoricumSenegaAmmonium muriaticum,4.5,439,Throat
SBL Kali Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,,4.6,986,Others
Bjain Omeo Diabeteez Drop,Bjain Pharmaceuticals Pvt Ltd,Abroma augustaAcidum phosphoricumSyzygium jambolanumCephalandra incicaGymnema sylvestreHelonias dioica,4.0,15,Pancreas
Bakson's Throat Aid Tablet,Bakson's Homeopathy,Mercurius iodatus ruberBelladonaKalium muriaticumBaryta carbonicaFerrum phosphoricumSenegaAmmonium muriaticum,4.5,439,Throat
SBL Stobal Cough Syrup,SBL Pvt Ltd,"Pulsatilla Nigricans 3, Justicia Adhatoda 3x, Rumex Crispus 3x, Ipecacuanha 3",4.6,1211,Throat
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,Adel Pekana Germany,"Cactus grandiflorus.2X, Crataegus, Strophantus 4X, Camphora 2X, Aether, Sulfuricus. 1X, Aurum. Mur. Natr. 4X, Valeriana, Alcohol",4.6,329,Heart
Bjain Acidum Fluoricum Dilution 30 CH,Bjain Pharmaceuticals Pvt Ltd,Hydrofluoric acid,,,Others
Dr. Reckeweg R42 Varicosis Drop,Dr Reckeweg & Co,"Aesculus, Calcium fluoratum, Carduus marianus, Hamamelis, Mezereum, Placenta",4.4,392,Others
Dr. Reckeweg R71 Sciatica Drop,Dr Reckeweg & Co,"Aconitum D4, Arsenic. Album D30, Colocynthis D4, Gnaphalium Polycephalum D3, Magnesium Phosphoricum D8",4.5,534,Whole Body
